abandon,[E5bAndEn],"vt.放弃, 遗弃//n.放任, 狂热"
benevolent,[bi5nevElEnt],adj.慈善的
benign,[bi5nain],"adj.(病)良性的, (气候)良好的, 仁慈的, 和蔼的"
bent,[bent],"n.倾向, 爱好"
bequest,[bi5kwest],"n.遗产, 遗赠"
berate,[bi5reit],"vt.严厉指责, 申斥"
bereave,[bi5ri:v],"vt.剥夺, 使失去"
beset,[bi5set],v.困扰
beside,[bi5said],"prep.在旁边, 和...比较"
besides,[bi5saidz],adv.此外//prep.除...之外
besiege,[bi5si:dV],"vt.围困, 围攻, 包围"
bespeak,[bi5spi:k],v.预订
bestow,[bi5stEu],"vt.给予, 安放"
bet,[bet],"n.赌, 打赌//v.赌, 赌钱"
betoken,[bi5tEukEn],vt.预示
betray,[bi5trei],"vt.出卖, 背叛, 泄露(秘密), 露出...迹象"
better,[5betE],"adj.较好的//adv.更好的, 更多的, 更佳的"
between,[bi5twi:n],"prep.在...之间, 连接...,由...协力合作"
beverage,[5bevE ridV],n.饮料
bewilder,[bi5wildE],"vt.使迷惑, 使不知所措, 使昏乱"
bias,[5baiEs],"n.偏见, 偏爱, 斜线//vt.使存偏见"
bicker,[5bikE],"vi.斗嘴, 流动, 闪动//n.口角, 流水声"
bidding,[5bidiN],"n.命令, 出价, 邀请"
bigoted,[],"adj.固执的, 执迷的, 顽固的"
bigotry,[5bigEtri],"n.固执, 顽固"
bill,[bil],"n.帐单, 钞票, 票据, 清单, 议案, 法案, 广告//vt.用海报宣传, 把...列成表, 给...开帐单"
biochemistry,[5baiEu5kemistri],n.生物化学
bison,[5baisn],n.美洲或欧洲的野牛
biting,[5baitiN],"adj.刺痛的, 尖锐的"
bitter about,[],痛苦于...
bizarre,[bi5zB:],"adj.奇异的(指态度,容貌,款式等) 担保"
blackmail,[5blAkmeil],"n.勒索, 勒索所得之款//vt.勒索"
blame,[bleim],"n.过失, 责备//vt.责备, 谴责"
bland,[blAnd],"adj.温和的, 柔和的, 乏味的, 冷漠的, 刺激性少的"
blast,[blB:st],"n.一阵(风), 一股(气流), 爆炸, 冲击波//vt.爆炸, ,毁灭, 使枯萎, 损害"
bleach,[bli:tF],"v.漂白, 变白"
bleak,[bli:k],"adj.寒冷的, 阴冷的, 荒凉的, 凄凉的, 黯淡的"
bleed,[bli:d],"v.使出血, 放血"
blemish,[5blemiF],"n.污点, 缺点, 瑕疵//vt.弄脏, 玷污, 损害"
blend,[blend],vt.混和//n.混和
blessed,[5blesid],adj.受祝福的
blessing,[5blesiN],n.祝福
blind,[blaind],"adj.瞎的, 盲目的//vt.使失明, 缺乏眼光或判断力"
blink,[bliNk],"v.眨眼, 闪亮, 无视"
bliss,[blis],"n.福佑, 天赐的福"
block,[blCk],"n.木块, 石块, 块, 街区, 印版, 滑轮, 阻滞, (一)批//vt.防碍, 阻塞"
blood,[blQd],"n.血, 血液, 血统//v.使(某人)先取得经验"
bloodshed,[5blQdFed],n.流血
bluff,[blQf],"n.断崖, 绝壁, 诈骗//adj.绝壁的, 直率的//vt.vi诈骗"
blunder,[5blQndE],"v.跌跌撞撞地走, 犯大错, 做错//n.大错, 失误"
blunt,[blQnt],"adj.钝的, 生硬的"
board,[bC:d],"n.木板, (供特殊用途的)木板, 甲板, 膳食费用, 会议桌, 部//vt.用板盖上, 包饭, 提供膳食, 上(船、飞机等)r)律师业"
boast,[bEust],"n.自夸, 值得夸耀的事物//v.自夸, 以有...而自豪"
boastful,[5bEustful],"adj.自负的, 喜夸耀的, 自夸的"
bobwhite,[5bCb5(h)wait],"n.鹑的一种(产于美洲)? 做错//n.大错, 失误"
bold,[bEuld],adj.大胆的//n.粗体
bombastic,[bCm5bAstik],"adj.夸大的, 言过其实的"
bonanza,[bEu5nAnzE],"n.富矿带, 带来好运之事, 幸运"
bond,[bCnd],"n.结合(物), 粘结(剂), 联结, 公债, 债券, 合同//v.结合"
bondage,[5bCndidV],"n.奴役, 束缚"
bonito,[bE5ni:tEu],n.鲣
bonus,[5bEunEs],"n.奖金, 红利"
boon,[bu:n],"n.恩惠, 实惠, 福利"
boredom,[5bC:dEm],n.厌倦
boring,[5bC:riN],n.钻(孔)//adj.令人厌烦的
botany,[5bCtEni],n.植物学
bound,[baund],"n.跃进, 跳, 范围, 限度//adj.正要启程的, 开往...去的, 被束缚的, 装订的//v.跳跃, 限制"
boundary,[5baundEri],"n.边界, 分界线"
boundless,[5baundlis],"adj.无限的, 无边无际的"
bow,[bau],"n.弓, 乐弓, 弓形, 鞠躬, 船首//v.鞠躬, 弯腰"
brace,[breis],"n.支柱, 带子, 振作精神//vt.支住, 撑牢, 振作起来, 奋起//adj.曲柄的//v.支持"
bracing,[5breisiN],"n.支撑, 支柱,裤吊带//adj.令人鼓舞的"
brag,[brAg],n.v.吹牛
brain,[brein],"n.脑, 头脑"
brake,[breik],"n.闸, 刹车//v.刹车"
brandish,[5brAndiF],vt.挥舞//n.挥舞
brasses,[],铜管乐器
bravado,[brE5vB:dEu],"n.虚张声势, 装作有自信的样子"
brawl,[brC:l],"n.vi.争吵, 怒骂"
breach,[bri:tF],"n.违背, 破坏, 破裂, 裂口//vt.打破, 突破"
bread,[bred],"n.面包, 生计"
break,[breik],"n.休息, 暂停, 破裂, 突变//v.打破, 违犯, 折断, 削弱, 超过, 突变"
breakdown,[5breikdaun],"n.崩溃, 衰弱, 细目分类"
breathe,[bri:T],"v.呼吸, 发出"
breed,[bri:d],"v.(使)繁殖, 教养, 抚养//n.品种, 种类"
breeze,[bri:z],"n.微风, 煤屑, 焦炭渣, 轻而易举的事, 小风波//vi.吹微风, 逃走"
brew,[bru:],"v.酿造, 酝酿"
briar,[5braiE],n.[植] 石南
brighten,[5braitn],"v.(使)变亮, (使)愉快"
brim,[brim],"n.(杯, 碗等)边, 边缘, (河)边//vt.注满, 使满溢//vi.满溢"
brink,[briNk],n.(峭岸、崖的)边缘
brisk,[brisk],"adj.敏锐的, 凛冽的, 轻快的, 活泼的//vt.使活泼//vi.活跃起来"
briskly,[],"adv.活泼地, 精神勃勃地"
brittle,[5britl],"adj.易碎的, 脆弱的"
broaden,[5brC:dn],"v.放宽, 变宽, 扩大, 加宽"
bruise,[bru:z],"n.瘀伤, 擦伤//v.打伤, 撞伤"
brutal,[5bru:tl],"adj.残忍的, 兽性的"
bud,[bQd],"n.芽, 蓓蕾//vi.发芽, 萌芽"
budge,[bQdV],v.移动
budget,[5bQdVit],"n.预算//vi.做预算, 编入预算"
bulk,[bQlk],"n.大小, 体积, 大批, 大多数, 散装//vt.显得大, 显得重要"
bulky,[5bQlki],"adj.大的, 容量大的, 体积大的"
bully,[5buli],"n.欺凌弱小者//vt.威吓, 威逼"
bumper,[5bQmpE],n.缓冲器
bunting,[5bQntiN],n.[动] 颊白鸟之类
bureau,[bjuE5rEu; 5bjuErEu],"n.办公桌, 衣柜//<美>局, 办公署"
burglar,[5bE:glE],n.夜贼
burning,[5bE:niN],"adj.燃烧的, 强烈的, 极严重的//v.燃烧"
burnish,[5bE:niF],"vt.磨光, 擦亮(金属)宽"
burst out,[],"v.闯出来, 大声喊, 突发"
but,[bEt; bQt],"prep.除...以外//conj.而是, 但是//adv.几乎, 仅仅"
butt,[bQt],"n.粗大的一端, 靶垛, 笑柄//v.以头抵撞, 碰撞"
butter,[5bQtE],"n.黄油, 牛油//vt.涂黄油于...上"
buy,[bai],"v.买//n.购买, 买卖"
by,[bai],"prep.在附近, 在旁边, 经, 由, 依据, 按照, 通过, 用//adv.通过, 经过, 附近//[域] Belarus, 白俄罗斯"
byword,[5baiwE:d],"n.格言, 谚语, 笑柄"
cabal,[kE5bAl],"n.(政治)阴谋小集团, (尤指政治上的)阴谋//vi.策划阴谋"
cackle,[5kAkl],"n.咯咯声, 高声笑, 饶舌, 闲谈//vi.咯咯叫, 咯咯笑, 喋喋不休"
calamity,[kE5lAmiti],"n.灾难, 不幸事件"
calculate,[5kAlkjuleit],"v.计算, 考虑, 计划, 打算//v.<美>以为, 认为"
caliber,[5kAlibE(r)? 器量],"n.口径, 才干, 器量"
call,[kC:l],"n.喊声, 叫声, 命令, 号召, 访问, 叫牌, 通话, 必要//v.呼叫, 召集, 称呼, 认为, 命名, 打电话"
callous,[5kAlEs],"adj.无情的, 冷淡的, 硬结的, 起老茧的"
calm,[kB:m],"adj.(天气、海洋等)静的, 平静的, 镇静的, 沉着的//v.(使)平静, (使)镇定, 平息"
camellia,[kE5mi:liE],"n.[植]茶属, 茶花, 山茶"
cancel,[5kAnsEl],"vt.取消, 删去"
candidate,[5kAndidit],"n.候选人, 投考者"
candor,[5kAndE],"n.坦白, 直率"
canny,[5kAni],"adj.谨慎的, 精明的, 节约的"
canter,[5kAntE],n.慢跑//v.慢跑
canvas,[5kAnvEs],v.彻底讨论探究//n.帆布
capable,[5keipEbl],"adj.有能力的, 能干的, 有可能的, 可以...的"
capacious,[kE5peiFEs],"adj.容积大的, 宽敞的, 广阔的"
capital punishment,[],死刑
capricious,[kE5priFEs],adj.反复无常的
capsize,[kAp5saiz],v.(特指船)倾覆
captious,[5kApFEs],"adj.吹毛求疵的, 挑剔的"
captivate,[5kAptiveit],"vt.迷住, 迷惑"
captivity,[kAp5tiviti],"n.囚禁, 被关"
carbon,[5kB:bEn],"n.[化]碳(元素符号C), (一张)复写纸"
carcass,[5kB:kEs],n.(屠宰后)畜体
cardinal,[5kB:dinEl],"n.枢机主教, 红衣主教//adj.主要的, 最重要的"
care,[kZE],"n.注意, 照料, 烦恼, 忧虑, 由...转交//vi.关心, 顾虑, 照顾, 喜爱//vt.在意"
care for,[],"v.关怀, 照顾, 愿意, 计较"
career,[kE5riE],"n.(原意：道路, 轨道)事业, 生涯, 速度"
careful,[5kZEful],"adj.小心的, 仔细的"
careful in,[],对...小心
careless about,[],对...不小心
caress,[kE5res],"n.爱抚, 接吻//vt.抚爱"
carnage,[5kB:nidV],"n.(尤指在战场上的)残杀, 大屠杀, 流血"
carnal,[5kB:nl],"adj.肉体的, 肉欲的, 性欲的, 色欲的, 淫荡的"
carol,[5kArEl],"n.欢乐的歌, 颂歌, (尤指)圣诞节颂歌//v.歌颂, 欢唱"
carp,[kB:p],n.鲤鱼//vi.吹毛求疵
carping,[`kB:piN],"adj.吹毛求疵的, 挑毛病的"
carrion,[5kAriEn],"n.死肉, 腐肉//adj.腐肉的, 似腐肉的, 吃腐肉的, 腐朽的, 令人作呕的"
cascade,[kAs5keid],"n.小瀑布, 喷流//vi.成瀑布落下//n.层叠"
castigate,[5kAstigeit],v.严惩
casual,[5kAVjuEl],"adj.偶然的, 不经意的, 临时的"
casualty,[5kAVjuElti],n.伤亡
cataclysm,[5kAtEklizEm],"n.灾难, 大洪水, 地震, (社会政治的)大变动"
catastrophe,[kE5tAstrEfi],"n.大灾难, 大祸"
catching,[5kAtFiN],"adj.(接触)传染的, 有魅力的, 迷人的"
categorical,[7kAti5gCrikEl],"adj.无条件的, 绝对的, 直接了当的(陈述、理论等)粗械"
catfish,[5kAtfiF],n.鲶鱼
cathedral,[kE5Wi:drEl],n.大教堂
catholic,[5kAWElik],n.天主教徒//adj.天主教的
cattle breeding,[],畜牧
cause,[kC:z],"n.原因, 导致某事发生的人或事, 动机, 理由, 根据, 目标, 理想, 事业//vt.引起, 惹起, 使(发生), 促成"
caustic,[5kC:stik],"adj.腐蚀性的, 刻薄的"
cautious,[5kC:FEs],"adj.谨慎的, 小心的"
cautious about,[],谨慎于...
cavern,[5kAvEn],"n.巨洞, 洞窟, 深处//vt.放于山洞中, 挖空"
ceaseless,[5si:slis],"adj.不停的, 不断的"
celebrity,[si5lebriti],"n.名声, 名人"
celestial,[si5lestjEl; si5lestFEl],adj.天上的
censor,[5sensE],"n.检查员//vt.检查, 审查"
censure,[5senFE],v.责难//n.责难
centigrade,[5sentigreid],"adj.分为百度的, 百分度的, 摄氏温度的"
ceremonial,[7seri5mEunjEl],n.仪式//adj.正式的
ceremonious,[7seri5mEunjEs; -niEs],"adj.讲究仪式的, 隆重的"
ceremony,[5serimEni],"n.典礼, 仪式, 礼节, 报幕员"
certain,[5sE:tEn],"adj.确定的, 某一个, 无疑的, 必然的, 可靠的//pron.某几个, 某些"
certain of,[],确信...
certainly,[5sE:tEnli],"adv.的确, (口语)当然, 行"
cession,[5seFEn],"n.割让, 转让, [律]让与(他人)债权"
chafe,[tFeif],"v.(将皮肤等)擦热, 擦破, 使恼火"
chalk,[tFC:k],"n.粉笔, 白垩//vt.用粉笔写, 和以白垩"
champion,[5tFAmpjEn],"n.冠军, 拥护者, 战士//vt.拥护, 支持"
change,[tFeindV],"n.改变, 变化, 转变, 找回的零钱, 找头, 辅币//vt.改变, 变革, 改造, 兑换"
chant,[tFB:nt],n.圣歌
chaos,[5 keiCs],"n.混乱, 混沌(宇宙未形成前的情形)蟊涠"
character,[5kAriktE],"n.(事物的)特性, 性质, 特征(的总和), (人的)品质, 字符, 性格, 特征, 人物//vt.写, 刻, 印, 使具有特征"
charge,[tFB:dV],"n.负荷, 电荷, 费用, 主管, 掌管, 充电, 充气, 装料//v.装满, 控诉, 责令, 告诫, 指示, 加罪于, 冲锋, 收费"
charisma,[kE5rizmE],"n.超凡魅力, 感召力, 教皇般的指导力"
charitable,[5tFAritEbl],"adj.仁慈的, (为)慈善事业的,宽恕的"
charity,[5tFAriti],"n.慈善, 施舍, 慈善团体"
chary,[5tFZEri],"adj.仔细的, 谨慎的, 吝啬的"
chasm,[5kAzEm],"n.深坑, 裂口"
chaste,[tFeist],"adj.贞洁的, (思想, 言论, 尤其是性的节操)有道德的, 朴素的"
chat,[tFAt],v.聊天//n.聊天
check,[tFek],"n.阻止, 制止, 控制, 阻止物, 支票, 检讫的记号, 饭馆的帐单//vt.检查, 制止, 核对, 寄存, 托运//vi.证明无误, 核对无误, 逐项相符, [象棋]将军"
chemistry,[5kemistri],n.化学
cherish,[5tFeriF],"vt.珍爱, 怀抱(希望等)止物, 支票, 检讫的记号, 饭馆的帐单"
chide,[tFaid],"v.斥责, 责骂"
chiefly,[5tFi:fli],"adv.首要, 主要地"
chill,[tFil],"n.寒意, 寒战, 寒心//adj.寒冷的, 扫兴的//v.使冷, 变冷, 冷藏"
chilly,[5tFili],adj.寒冷的
chipmunk,[5tFipmQNk],n.[动] 花栗鼠
chirp,[tFE:p],"n.喳喳声, 唧唧声//v.吱喳而鸣, 尖声地说"
chocolate,[5tFCkElit],"n.巧克力, 巧克力色"
choice,[tFCis],"n.选择, 抉择, 精选品, 选择机会, 选择权//adj.精选的, 上等的, 挑三拣四的, 可选的, 宠爱的, 爱惜的"
choke,[tFEuk],"v.窒息, 哽住, 使呼吸困难, 阻塞//n.窒息, 阻气门"
choose,[tFu:z],"v.选择, 选定"
chop,[tFCp],"n.砍, 排骨, 官印, 商标//vt.剁碎, 砍, (风浪)突变"
chore,[tFC:],n.家务杂事
chorus,[5kC:rEs],"n.合唱, 合唱队, 齐声"
Christian,[5kristjEn],"n.基督徒, 信徒//adj.基督教的, 信基督教的"
chrome,[krEum],"n.铬, 铬合金"
chronic,[5krCnik],"adj.慢性的, 延续很长的"
chuckle,[5tFQkl],"n.吃吃的笑声//vi.吃吃的笑, 咯咯叫"
chum,[tFQm],"n.<俗>(特指男孩子之间)密友, 室友//vi.结为密友（与up连用）"
cicada,[si5keidE; -5kB:dE],n.蝉
cipher,[5saifE],n.密码
circuitous,[sE(:)5kju(:)itEs],adj.迂回线路的
circular,[5sE:kjulE],"adj.圆形的, 循环的//n.函件//通知"
circulate,[5sE:kjuleit],"v.(使)流通, (使)运行, (使)循环, (使)传播"
circulation,[7sE:kju5leiFEn],"n.循环, 流通, 发行额"
circumference,[sE5kQmfErEns],"n.圆周, 周围"
circumscribe,[5sE:kEmskraib; 7sE:kEm5skraib],"vt.在...周围画线, 限制"
circumspect,[5sE:kEmspekt],"adj.慎重的, 周到的"
circumvent,[7sE:kEm5vent],"vt.围绕, 包围, 智取"
cite,[sait],"vt.引用, 引证, 提名表扬"
civilian,[si5viljEn],"n.平民, 公务员, 文官//adj.民间的, 民用的"
clam,[klAm],n.蛤
clamor,[5klAmE],"n.喧闹, 叫嚷, 大声的要求//v.喧嚷, 大声的要求"
clamorous,[5klAmErEs],adj.大喊大叫的
clamp,[klAmp],"n.夹子, 夹具, 夹钳//vt.夹住, 夹紧"
clandestine,[klAn5destin],adj.秘密的
clarify,[5klArifai],"v.澄清, 阐明"
clash,[klAF],"n.冲突, 撞击声, 抵触//v.(使)发出撞击声, 猛撞, 冲突"
class,[klB:s],"n.班级, 阶级, 社会等级, 种类, (一节)课//vt.把...分类(或分等级)"
clause,[klC:z],"n.子句, 条款"
clean,[kli:n],"adj.清洁的, 干净的, 清白的//v.打扫, 使干净, 清扫"
cleanse,[klenz],v.纯净
clear,[kliE],"adj.清楚的, 清晰的, 清澈的, 光亮的, 空旷的, 有条理的//adv.清楚地, 完全地//v.扫除, 清除, 晴, 跳过, 净得"
clearly,[5kliEli],"adv.明朗地, 明显地, 无疑地"
cleave,[kli:v],"v.劈, 劈开, 裂开 vi.粘着, 忠于, 坚持"
cleft,[kleft],"n.裂缝, 隙口//adj.劈开的//vbl.劈开, 分开"
clergy,[5klE:dVi],"n.(集合称)圣职者, 牧师, 僧侣, 神职人员"
clerk,[klB:k; klE:k],"n.职员, 办事员, <美> 店员"
climate,[5klaimit],"n.气候, 风土, 思潮"
climax,[5klaimAks],"n.高潮, 顶点"
clinch,[klintF],"n.钉牢, 拥吻//v.敲弯, 扭住"
cling,[kliN],"vi.粘紧, 附着, 紧贴, 坚持(意见), 墨守(习惯)显得"
clinic,[5klinik],"n.门诊部, 临床"
clip,[klip],"n.夹子, 回形针, 子弹夹//vt.夹住, 剪短, 修剪"
clog,[klCg],"n.木底鞋, 障碍//v.障碍, 阻塞"
close,[klEuz],"v.关, 关闭, 结束, 停止, 使靠近, 靠拢, 会合, 包围//n.结束//adj.近的, 紧密的, 精密的, 齐根的, 封闭的, 亲密的, 闷气的//adv.接近, 紧密地"
closely,[5klEuzli],adv.接近地
clot,[klCt],n.(血液等的)凝块//v.(使)凝结
cloth,[klC(:)W],"n.布, 织物, 衣料"
clothes,[klEuTz],"n.衣服, [总称]被褥, 各种衣服, <美俚>家丑"
clothing,[5klEuTiN],n.衣服
clumsy,[5klQmzi],adj.笨拙的
cluster,[5klQstE],"n.串, 丛//vi.丛生, 成群"
clutch,[klQtF],"v.抓住, 攫住//n.离合器"
clutter,[5klQtE],n.混乱
coal,[kEul],n.煤//v.加煤
coarse,[kC:s],"adj.粗糙的, 粗鄙的"
coat,[kEut],"n.外套, (动物的)皮毛, (植物的)表皮, (漆等的)层, 涂层//vt.涂上, 包上"
coax,[kEuks],"v.哄, 耐心使..."
cockroach,[5kCkrEutF],n.蟑螂
coddle,[5kCd(E)l],"vt.娇养, 溺爱, 煮蛋//n.娇生惯养的人, 身体虚弱的人"
coerce,[kEu5E:s],"vt.强制, 强迫"
coffee,[5kCfi],"n.咖啡, 咖啡树, 咖啡茶, 咖啡豆, 咖啡色"
cog,[kCg],"n.[机]嵌齿, 小船//vt.上齿轮, 欺骗"
cogent,[5kEudVEnt],"adj.强有力的, 使人信服的, 使人首肯的, 恰到好处的"
cognizance,[5kCgnizEns],"n.认识, 审理, 认定"
cohere,[kEu5hiE],"vi.粘着, 凝结, 紧凑"
coherent,[kEu5hiErEnt],"adj.粘在一起的, 一致的, 连贯的"
cohesion,[kEu5hi:VEn],"n.结合, 凝聚, [物理]内聚力"
cohesive,[kEu5hi:siv],adj.粘着的
coil,[kCil],"v.盘绕, 卷"
coin,[kCin],"n.硬币//vt.铸造(硬币)? 使人首肯的, 恰到好处的"
coincide,[7kEuin5said],"vi.一致, 符合"
collaborate,[kE5lAbEreit],"vi.合作, 通敌"
collapse,[kE5lAps],"n.倒塌, 崩溃, 失败, 虚脱//vi.倒塌, 崩溃, 瓦解, 失败, 病倒"
collate,[kC5leit],v.比较
collateral,[kE5lAtErEl],adj.间接的
colloquial,[kE5lEukwiEl],"adj.口语的, 通俗的"
collusion,[kE5l(j)u:VEn],"n.共谋, 勾结"
colony,[5kClEni],"n.殖民地, 侨民, (聚居的)一群同业, 一批同行, (生物)群体"
colossal,[kE5lCsl],"adj.巨大的, 庞大的"
colt,[kEult],"n.小马, 无经验的年轻人//vt.用绳抽打"
combination,[7kCmbi5neiFEn],"n.结合, 联合, 合并, 化合, 化合物"
comet,[5kCmit],n.彗星
comity,[5kCmiti],"n.礼让, 礼仪, 团结, 联合"
command,[kE5mB:nd],"n.命令, 掌握, 司令部//v.命令, 指挥, 克制, 支配, 博得, 俯临"
commander,[kE5mB:ndE],"n.司令官, 指挥官"
commence,[kE5mens],"v.开始, 着手"
commentator,[5kCmenteitE],"评论员,讲解员"
commerce,[5kCmE(:)s],n.商业
commingle,[kC5miNgl],v.混合
commiserate,[kE5mizEreit],"v.怜悯, 同情"
commission,[kE5miFEn],"n.委任, 委托, 代办(权), 代理(权), 犯(罪), 佣金//vt.委任, 任命, 委托, 委托制作, 使服役"
committee,[kE5miti],n.委员会
commodious,[kE5mEudiEs],adj.宽敞的
commotion,[kE5mEuFEn],"n.骚动, 暴乱"
communicate,[kE5mju:nikeit],"v.沟通, 通信, (房间、道路、花园等)相通, 传达, 感染"
community,[kE5mju:niti],"n.公社, 团体, 社会, (政治)共同体, 共有, 一致, 共同体, (生物)群落"
compact,[5kCmpAkt],"adj.紧凑的, 紧密的, 简洁的//n.契约, 合同, 小粉盒"
company,[5kQmpEni],"n.公司, 陪伴, (一)群, (一)队, (一)伙, 连, 连队"
comparable,[5kCmpErEbl],"adj.可比较的, 比得上的"
comparative,[kEm5pArEtiv],"adj.比较的, 相当的"
compare,[kEm5pZE],"v.比较, 相比, 比喻  n.比较"
compassion,[kEm5pAFEn],"n.同情,怜悯"
compatible,[kEm5pAtEbl],"adj.谐调的, 一致的, 兼容的"
compel,[kEm5pel],"vt.强迫, 迫使"
compensation,[kCmpen5seiFEn],"n.补偿, 赔偿"
compete,[kEm5pi:t],"vi.比赛, 竞争"
competent,[5kCmpitEnt],"adj.有能力的, 胜任的"
compile,[kEm5pail],"vt.编译, 编辑, 汇编"
complaint,[kEm5pleint],"n.诉苦, 抱怨, 牢骚, 委屈, 疾病"
complaisant,[kEm5pleizEnt],"adj.彬彬有礼的, 殷勤的, 柔顺的"
complement,[5kCmplimEnt],"n.补足物, [文法]补语, [数]余角//vt.补助, 补足"
complementary,[kCmplE5mentEri],"adj.补充的, 补足的"
complete,[kEm5pli:t],"adj.全部的, 完全的, 完成的//vt.完成, 使完善"
complex,[5kCmpleks],"adj.复杂的, 合成的, 综合的//n.联合体"
complicate,[5kCmplikeit],v.(使)变复杂
complicated,[5kCmplikeitid],"adj.复杂的, 难解的"
compliment,[5kCmplimEnt],"n.称赞, 恭维, 致意, 问候, 道贺//vt.称赞, 褒扬, 恭维"
complimentary,[7kCmpli5ment(E)ri],"adj.问候的, 称赞的, 夸奖的, 免费赠送的"
comply,[kEm5plai],"vi.顺从, 答应, 遵守"
component,[kEm5pEunEnt],"n.成分//adj.组成的, 构成的"
comport,[kEm5pC:t],v.相称
composed,[kEm5pEuzd],"adj.镇静的, 沉着的"
composure,[kEm5pEuVE],"n.镇静, 沉着"
comprehend,[7kCmpri5hend],"vt.领会, 理解, 包括(包含), 由...组成"
comprehensive,[7kCmpri5hensiv],"adj.全面的, 广泛的, 能充分理解的, 包容的"
comprise,[kEm5praiz],"v.包含, 由...组成"
compulsive,[kEm5pQlsiv],"adj.强制的, 强迫的, 由强迫产生的, 禁不住的"
compulsory,[kEm5pQlsEri],"adj.必需做的, 必修的, 被强迫的, 被强制的, 义务的"
comrade,[5kCmrid],"n.朋友, 同志, 伙伴"
conceal,[kEn5si:l],"vt.隐藏, 隐蔽, 隐瞒//v.隐蔽"
concede,[kEn5si:d],"vt.勉强, 承认, 退让//vi.让步"
conceit,[kEn5si:t],"n.原义：想法, 意见, 自负, 幻想, 狂妄"
conceive,[kEn5si:v],"vt.构思, 以为, 持有//vi.怀孕, 考虑, 设想"
concerned,[kEn5sE:nd],"adj.关心的, 有关的"
concert,[5kCnsEt],"n.音乐会, 一致"
concession,[kEn5seFEn],n.让步
conciliatory,[kEn5siliEtEri],"adj.抚慰的, 调和的"
concise,[kEn5sais],"adj.简明的, 简练的"
conclude,[kEn5klu:d],"v.结束, 终止, 决定, 作出结论//vt.推断, 断定, 缔结, 议定"
conclusive,[kEn5klu:siv],"adj.确实的, 最后的, 决定性的"
conclusively,[],adv.最后地
